Azadirachta indica
Lower Threshold: 0.005,     	Prevalence: 0.33298429319371725 (4134 / 12415)
Lower Threshold: 0.005,     	Prevalence: 0.12093293492695883 (1457 / 12048)
Lower Threshold: 0.0051,     	Prevalence: 0.12380787237731923 (1428 / 11534)
Lower Threshold: 0.0052,     	Prevalence: 0.1293907147565684 (1374 / 10619)
Lower Threshold: 0.0053,     	Prevalence: 0.13862878054030783 (1288 / 9291)
Lower Threshold: 0.0054,     	Prevalence: 0.14978090559022705 (1128 / 7531)
Lower Threshold: 0.0055,     	Prevalence: 0.16298781564541762 (923 / 5663)
Lower Threshold: 0.0056,     	Prevalence: 0.18536197295147175 (699 / 3771)
Lower Threshold: 0.0057,     	Prevalence: 0.21526001705029837 (505 / 2346)
Lower Threshold: 0.0058,     	Prevalence: 0.25098347757671124 (319 / 1271)
Lower Threshold: 0.0059,     	Prevalence: 0.2566929133858268 (163 / 635)
Lower Threshold: 0.006,     	Prevalence: 0.2558139534883721 (66 / 258)
Lower Threshold: 0.0061,     	Prevalence: 0.27710843373493976 (23 / 83)
Lower Threshold: 0.0062,     	Prevalence: 0.2857142857142857 (6 / 21)
Lower Threshold: 0.0063,     	Prevalence: 0.0 (0 / 3)

Dalbergia sissoo
Lower Threshold: 0.005,     	Prevalence: 0.034457175830516856 (418 / 12131)
Lower Threshold: 0.0051,     	Prevalence: 0.035137034434293744 (400 / 11384)
Lower Threshold: 0.0052,     	Prevalence: 0.0386377837950427 (371 / 9602)
Lower Threshold: 0.0053,     	Prevalence: 0.045087384344250254 (307 / 6809)
Lower Threshold: 0.0054,     	Prevalence: 0.05368790767686904 (214 / 3986)
Lower Threshold: 0.0055,     	Prevalence: 0.06841505131128849 (120 / 1754)
Lower Threshold: 0.0056,     	Prevalence: 0.10260869565217391 (59 / 575)
Lower Threshold: 0.0057,     	Prevalence: 0.10828025477707007 (17 / 157)
Lower Threshold: 0.0058,     	Prevalence: 0.1 (4 / 40)
Lower Threshold: 0.0059,     	Prevalence: 0.1111111111111111 (1 / 9)
Lower Threshold: 0.006,     	Prevalence: 1.0 (1 / 1)

prosopis juliflora
Lower Threshold: 0.005,     	Prevalence: 0.04637326813365933 (569 / 12270)
Lower Threshold: 0.0051,     	Prevalence: 0.04741235392320534 (568 / 11980)
Lower Threshold: 0.0052,     	Prevalence: 0.049381617581635374 (555 / 11239)
Lower Threshold: 0.0053,     	Prevalence: 0.0540701719510983 (544 / 10061)
Lower Threshold: 0.0054,     	Prevalence: 0.06392251815980629 (528 / 8260)
Lower Threshold: 0.0055,     	Prevalence: 0.08082124816685678 (496 / 6137)
Lower Threshold: 0.0056,     	Prevalence: 0.11256410256410257 (439 / 3900)
Lower Threshold: 0.0057,     	Prevalence: 0.15327184892402285 (349 / 2277)
Lower Threshold: 0.0058,     	Prevalence: 0.22845188284518828 (273 / 1195)
Lower Threshold: 0.0059,     	Prevalence: 0.2926829268292683 (168 / 574)
Lower Threshold: 0.006,     	Prevalence: 0.43636363636363634 (96 / 220)
Lower Threshold: 0.0061,     	Prevalence: 0.5373134328358209 (36 / 67)
Lower Threshold: 0.0062,     	Prevalence: 0.7272727272727273 (8 / 11)
Lower Threshold: 0.0063,     	Prevalence: 1.0 (2 / 2)

saraca asoca
Lower Threshold: 0.005,     	Prevalence: 0.04180229569984581 (244 / 5837)
Lower Threshold: 0.0051,     	Prevalence: 0.04823685961410512 (145 / 3006)
Lower Threshold: 0.0052,     	Prevalence: 0.06760316066725197 (77 / 1139)
Lower Threshold: 0.0053,     	Prevalence: 0.07878787878787878 (26 / 330)
Lower Threshold: 0.0054,     	Prevalence: 0.09876543209876543 (8 / 81)
Lower Threshold: 0.0055,     	Prevalence: 0.1111111111111111 (1 / 9)
Lower Threshold: 0.0056,     	Prevalence: 0.5 (1 / 2)

Morus Alba
Lower Threshold: 0.005,     	Prevalence: 0.026328541431109676 (326 / 12382)
Lower Threshold: 0.0051,     	Prevalence: 0.026322243112891358 (322 / 12233)
Lower Threshold: 0.0052,     	Prevalence: 0.027040859848161732 (317 / 11723)
Lower Threshold: 0.0053,     	Prevalence: 0.028443256657440106 (298 / 10477)
Lower Threshold: 0.0054,     	Prevalence: 0.032262036694988304 (262 / 8121)
Lower Threshold: 0.0055,     	Prevalence: 0.040978941377347755 (216 / 5271)
Lower Threshold: 0.0056,     	Prevalence: 0.056523284749377886 (159 / 2813)
Lower Threshold: 0.0057,     	Prevalence: 0.0765625 (98 / 1280)
Lower Threshold: 0.0058,     	Prevalence: 0.11764705882352941 (56 / 476)
Lower Threshold: 0.0059,     	Prevalence: 0.15384615384615385 (26 / 169)
Lower Threshold: 0.006,     	Prevalence: 0.15789473684210525 (6 / 38)
Lower Threshold: 0.0061,     	Prevalence: 0.16666666666666666 (1 / 6)
Lower Threshold: 0.0062,     	Prevalence: 0.5 (1 / 2)

Aegle Marmelos
Lower Threshold: 0.005,     	Prevalence: 0.01390685640362225 (172 / 12368)
Lower Threshold: 0.0051,     	Prevalence: 0.013928717738631708 (170 / 12205)
Lower Threshold: 0.0052,     	Prevalence: 0.014150943396226415 (165 / 11660)
Lower Threshold: 0.0053,     	Prevalence: 0.015035433824937751 (157 / 10442)
Lower Threshold: 0.0054,     	Prevalence: 0.016123210203344965 (134 / 8311)
Lower Threshold: 0.0055,     	Prevalence: 0.019021739130434784 (105 / 5520)
Lower Threshold: 0.0056,     	Prevalence: 0.022751510842516885 (64 / 2813)
Lower Threshold: 0.0057,     	Prevalence: 0.02304964539007092 (26 / 1128)
Lower Threshold: 0.0058,     	Prevalence: 0.045454545454545456 (14 / 308)
Lower Threshold: 0.0059,     	Prevalence: 0.07272727272727272 (4 / 55)
Lower Threshold: 0.006,     	Prevalence: 0.16666666666666666 (2 / 12)
Lower Threshold: 0.0061,     	Prevalence: 1.0 (1 / 1)
Lower Threshold: 0.0062,     	Prevalence: 1.0 (1 / 1)
Lower Threshold: 0.0063,     	Prevalence: 1.0 (1 / 1)

Mangifera indica
Lower Threshold: 0.005,     	Prevalence: 0.0125 (150 / 12000)
Lower Threshold: 0.0051,     	Prevalence: 0.013202802227411532 (147 / 11134)
Lower Threshold: 0.0052,     	Prevalence: 0.015270459189160125 (142 / 9299)
Lower Threshold: 0.0053,     	Prevalence: 0.018794274974700015 (130 / 6917)
Lower Threshold: 0.0054,     	Prevalence: 0.024994105163876443 (106 / 4241)
Lower Threshold: 0.0055,     	Prevalence: 0.03274215552523874 (72 / 2199)
Lower Threshold: 0.0056,     	Prevalence: 0.042725173210161664 (37 / 866)
Lower Threshold: 0.0057,     	Prevalence: 0.07641196013289037 (23 / 301)
Lower Threshold: 0.0058,     	Prevalence: 0.13043478260869565 (12 / 92)
Lower Threshold: 0.0059,     	Prevalence: 0.2 (4 / 20)
Lower Threshold: 0.006,     	Prevalence: 0.0 (0 / 1)

Ficus religiosa
Lower Threshold: 0.005,     	Prevalence: 0.013400064578624474 (166 / 12388)
Lower Threshold: 0.0051,     	Prevalence: 0.013638977898282804 (166 / 12171)
Lower Threshold: 0.0052,     	Prevalence: 0.01483334822625324 (166 / 11191)
Lower Threshold: 0.0053,     	Prevalence: 0.016815144766146994 (151 / 8980)
Lower Threshold: 0.0054,     	Prevalence: 0.024394493814253355 (140 / 5739)
Lower Threshold: 0.0055,     	Prevalence: 0.037529060112919295 (113 / 3011)
Lower Threshold: 0.0056,     	Prevalence: 0.06893617021276596 (81 / 1175)
Lower Threshold: 0.0057,     	Prevalence: 0.12254901960784313 (50 / 408)
Lower Threshold: 0.0058,     	Prevalence: 0.20388349514563106 (21 / 103)
Lower Threshold: 0.0059,     	Prevalence: 0.17857142857142858 (5 / 28)
Lower Threshold: 0.006,     	Prevalence: 0.25 (2 / 8)

Ficus benghalensis
Lower Threshold: 0.005,     	Prevalence: 0.01666835033841802 (165 / 9899)
Lower Threshold: 0.0051,     	Prevalence: 0.019777341191879502 (151 / 7635)
Lower Threshold: 0.0052,     	Prevalence: 0.027716408917453302 (138 / 4979)
Lower Threshold: 0.0053,     	Prevalence: 0.04058078927773641 (109 / 2686)
Lower Threshold: 0.0054,     	Prevalence: 0.06688963210702341 (80 / 1196)
Lower Threshold: 0.0055,     	Prevalence: 0.11009174311926606 (48 / 436)
Lower Threshold: 0.0056,     	Prevalence: 0.16778523489932887 (25 / 149)
Lower Threshold: 0.0057,     	Prevalence: 0.2826086956521739 (13 / 46)
Lower Threshold: 0.0058,     	Prevalence: 0.46153846153846156 (6 / 13)
Lower Threshold: 0.0059,     	Prevalence: 0.8 (4 / 5)
Lower Threshold: 0.006,     	Prevalence: 1.0 (1 / 1)
Lower Threshold: 0.0061,     	Prevalence: 1.0 (1 / 1)

Pongamia pinnata
Lower Threshold: 0.005,     	Prevalence: 0.012650804289544236 (151 / 11936)
Lower Threshold: 0.0051,     	Prevalence: 0.013278388278388278 (145 / 10920)
Lower Threshold: 0.0052,     	Prevalence: 0.014958947250028118 (133 / 8891)
Lower Threshold: 0.0053,     	Prevalence: 0.015824317778136605 (98 / 6193)
Lower Threshold: 0.0054,     	Prevalence: 0.01772525849335303 (60 / 3385)
Lower Threshold: 0.0055,     	Prevalence: 0.01991465149359886 (28 / 1406)
Lower Threshold: 0.0056,     	Prevalence: 0.03504043126684636 (13 / 371)
Lower Threshold: 0.0057,     	Prevalence: 0.05063291139240506 (4 / 79)
Lower Threshold: 0.0058,     	Prevalence: 0.125 (1 / 8)
Lower Threshold: 0.0059,     	Prevalence: 0.0 (0 / 1)

Ziziphus jujuba
Lower Threshold: 0.005,     	Prevalence: 0.010023194168323393 (121 / 12072)
Lower Threshold: 0.0051,     	Prevalence: 0.010459138450629322 (118 / 11282)
Lower Threshold: 0.0052,     	Prevalence: 0.011204481792717087 (108 / 9639)
Lower Threshold: 0.0053,     	Prevalence: 0.013094417643004824 (95 / 7255)
Lower Threshold: 0.0054,     	Prevalence: 0.016584105104458326 (77 / 4643)
Lower Threshold: 0.0055,     	Prevalence: 0.019896538002387585 (50 / 2513)
Lower Threshold: 0.0056,     	Prevalence: 0.01876675603217158 (21 / 1119)
Lower Threshold: 0.0057,     	Prevalence: 0.02247191011235955 (10 / 445)
Lower Threshold: 0.0058,     	Prevalence: 0.0546875 (7 / 128)
Lower Threshold: 0.0059,     	Prevalence: 0.038461538461538464 (1 / 26)
Lower Threshold: 0.006,     	Prevalence: 0.14285714285714285 (1 / 7)
Lower Threshold: 0.0061,     	Prevalence: 0.0 (0 / 1)

Vachellia leucophloea
Lower Threshold: 0.005,     	Prevalence: 0.008034433285509325 (84 / 10455)
Lower Threshold: 0.0051,     	Prevalence: 0.009664113140836771 (82 / 8485)
Lower Threshold: 0.0052,     	Prevalence: 0.01236011357942208 (74 / 5987)
Lower Threshold: 0.0053,     	Prevalence: 0.01602732527588019 (61 / 3806)
Lower Threshold: 0.0054,     	Prevalence: 0.020872865275142316 (44 / 2108)
Lower Threshold: 0.0055,     	Prevalence: 0.026268115942028984 (29 / 1104)
Lower Threshold: 0.0056,     	Prevalence: 0.037199124726477024 (17 / 457)
Lower Threshold: 0.0057,     	Prevalence: 0.046511627906976744 (8 / 172)
Lower Threshold: 0.0058,     	Prevalence: 0.061224489795918366 (3 / 49)
Lower Threshold: 0.0059,     	Prevalence: 0.06666666666666667 (1 / 15)
Lower Threshold: 0.006,     	Prevalence: 0.0 (0 / 3)

Moringa oleifera
Lower Threshold: 0.005,     	Prevalence: 0.007422347720855184 (92 / 12395)
Lower Threshold: 0.0051,     	Prevalence: 0.00747177779582555 (92 / 12313)
Lower Threshold: 0.0052,     	Prevalence: 0.007571975370277917 (91 / 12018)
Lower Threshold: 0.0053,     	Prevalence: 0.007802690582959642 (87 / 11150)
Lower Threshold: 0.0054,     	Prevalence: 0.008588298443370907 (80 / 9315)
Lower Threshold: 0.0055,     	Prevalence: 0.010424770499455423 (67 / 6427)
Lower Threshold: 0.0056,     	Prevalence: 0.012418687167356593 (42 / 3382)
Lower Threshold: 0.0057,     	Prevalence: 0.022827687776141383 (31 / 1358)
Lower Threshold: 0.0058,     	Prevalence: 0.03537735849056604 (15 / 424)
Lower Threshold: 0.0059,     	Prevalence: 0.04918032786885246 (6 / 122)
Lower Threshold: 0.006,     	Prevalence: 0.15384615384615385 (4 / 26)
Lower Threshold: 0.0061,     	Prevalence: 0.3333333333333333 (3 / 9)
Lower Threshold: 0.0062,     	Prevalence: 0.5 (2 / 4)
Lower Threshold: 0.0063,     	Prevalence: 1.0 (1 / 1)

Albizia procera
Lower Threshold: 0.005,     	Prevalence: 0.007943600436898023 (80 / 10071)
Lower Threshold: 0.0051,     	Prevalence: 0.00857106306767302 (67 / 7817)
Lower Threshold: 0.0052,     	Prevalence: 0.011291866028708134 (59 / 5225)
Lower Threshold: 0.0053,     	Prevalence: 0.015789473684210527 (48 / 3040)
Lower Threshold: 0.0054,     	Prevalence: 0.021289918597370068 (34 / 1597)
Lower Threshold: 0.0055,     	Prevalence: 0.03602305475504323 (25 / 694)
Lower Threshold: 0.0056,     	Prevalence: 0.05166051660516605 (14 / 271)
Lower Threshold: 0.0057,     	Prevalence: 0.08 (8 / 100)
Lower Threshold: 0.0058,     	Prevalence: 0.10714285714285714 (3 / 28)
Lower Threshold: 0.0059,     	Prevalence: 0.2 (1 / 5)

Phoenix sylvestris
Lower Threshold: 0.005,     	Prevalence: 0.006552969839536252 (78 / 11903)
Lower Threshold: 0.0051,     	Prevalence: 0.006931316950220542 (77 / 11109)
Lower Threshold: 0.0052,     	Prevalence: 0.007913369429404415 (76 / 9604)
Lower Threshold: 0.0053,     	Prevalence: 0.009399758291929636 (70 / 7447)
Lower Threshold: 0.0054,     	Prevalence: 0.012504962286621676 (63 / 5038)
Lower Threshold: 0.0055,     	Prevalence: 0.01896551724137931 (55 / 2900)
Lower Threshold: 0.0056,     	Prevalence: 0.03641660597232338 (50 / 1373)
Lower Threshold: 0.0057,     	Prevalence: 0.07011686143572621 (42 / 599)
Lower Threshold: 0.0058,     	Prevalence: 0.16744186046511628 (36 / 215)
Lower Threshold: 0.0059,     	Prevalence: 0.375 (30 / 80)
Lower Threshold: 0.006,     	Prevalence: 0.6285714285714286 (22 / 35)
Lower Threshold: 0.0061,     	Prevalence: 0.8947368421052632 (17 / 19)
Lower Threshold: 0.0062,     	Prevalence: 0.9166666666666666 (11 / 12)
Lower Threshold: 0.0063,     	Prevalence: 1.0 (6 / 6)
Lower Threshold: 0.0064,     	Prevalence: 1.0 (2 / 2)
Lower Threshold: 0.0065,     	Prevalence: 1.0 (1 / 1)
Lower Threshold: 0.0066,     	Prevalence: 1.0 (1 / 1)

Eucalyptus tereticornis
Lower Threshold: 0.005,     	Prevalence: 0.008153676064123825 (59 / 7236)
Lower Threshold: 0.0051,     	Prevalence: 0.01044540796216003 (53 / 5074)
Lower Threshold: 0.0052,     	Prevalence: 0.012148337595907928 (38 / 3128)
Lower Threshold: 0.0053,     	Prevalence: 0.018130311614730877 (32 / 1765)
Lower Threshold: 0.0054,     	Prevalence: 0.02702702702702703 (24 / 888)
Lower Threshold: 0.0055,     	Prevalence: 0.03116883116883117 (12 / 385)
Lower Threshold: 0.0056,     	Prevalence: 0.034722222222222224 (5 / 144)
Lower Threshold: 0.0057,     	Prevalence: 0.04838709677419355 (3 / 62)
Lower Threshold: 0.0058,     	Prevalence: 0.1111111111111111 (2 / 18)
Lower Threshold: 0.0059,     	Prevalence: 0.16666666666666666 (1 / 6)
Lower Threshold: 0.006,     	Prevalence: 0.5 (1 / 2)
Lower Threshold: 0.0061,     	Prevalence: 0.5 (1 / 2)

Albizia lebbeck
Lower Threshold: 0.005,     	Prevalence: 0.004223952294185854 (51 / 12074)
Lower Threshold: 0.0051,     	Prevalence: 0.004409171075837742 (50 / 11340)
Lower Threshold: 0.0052,     	Prevalence: 0.0049597024178549285 (48 / 9678)
Lower Threshold: 0.0053,     	Prevalence: 0.005303236333967908 (39 / 7354)
Lower Threshold: 0.0054,     	Prevalence: 0.006836544437538844 (33 / 4827)
Lower Threshold: 0.0055,     	Prevalence: 0.009022556390977444 (24 / 2660)
Lower Threshold: 0.0056,     	Prevalence: 0.012355848434925865 (15 / 1214)
Lower Threshold: 0.0057,     	Prevalence: 0.014256619144602852 (7 / 491)
Lower Threshold: 0.0058,     	Prevalence: 0.01694915254237288 (3 / 177)
Lower Threshold: 0.0059,     	Prevalence: 0.0392156862745098 (2 / 51)
Lower Threshold: 0.006,     	Prevalence: 0.0 (0 / 16)
Lower Threshold: 0.0061,     	Prevalence: 0.0 (0 / 2)

Acalypha fruticosa
Lower Threshold: 0.005,     	Prevalence: 0.003196803196803197 (16 / 5005)
Lower Threshold: 0.0051,     	Prevalence: 0.0024187975120939877 (7 / 2894)
Lower Threshold: 0.0052,     	Prevalence: 0.0007062146892655367 (1 / 1416)
Lower Threshold: 0.0053,     	Prevalence: 0.0 (0 / 579)
Lower Threshold: 0.0054,     	Prevalence: 0.0 (0 / 193)
Lower Threshold: 0.0055,     	Prevalence: 0.0 (0 / 68)
Lower Threshold: 0.0056,     	Prevalence: 0.0 (0 / 14)
Lower Threshold: 0.0057,     	Prevalence: 0.0 (0 / 2)
Lower Threshold: 0.0058,     	Prevalence: 0.0 (0 / 1)
Lower Threshold: 0.0059,     	Prevalence: 0.0 (0 / 1)

Cordia myxa
Lower Threshold: 0.005,     	Prevalence: 0.002231905622276544 (21 / 9409)
Lower Threshold: 0.0051,     	Prevalence: 0.0027000142106011083 (19 / 7037)
Lower Threshold: 0.0052,     	Prevalence: 0.003540606328833813 (16 / 4519)
Lower Threshold: 0.0053,     	Prevalence: 0.004032258064516129 (10 / 2480)
Lower Threshold: 0.0054,     	Prevalence: 0.007901668129938543 (9 / 1139)
Lower Threshold: 0.0055,     	Prevalence: 0.009732360097323601 (4 / 411)
Lower Threshold: 0.0056,     	Prevalence: 0.008403361344537815 (1 / 119)
Lower Threshold: 0.0057,     	Prevalence: 0.0 (0 / 28)
Lower Threshold: 0.0058,     	Prevalence: 0.0 (0 / 3)
Lower Threshold: 0.0059,     	Prevalence: 0.0 (0 / 3)

Ziziphus mauritiana
Lower Threshold: 0.005,     	Prevalence: 0.0018659881255301102 (22 / 11790)
Lower Threshold: 0.0051,     	Prevalence: 0.001950222882615156 (21 / 10768)
Lower Threshold: 0.0052,     	Prevalence: 0.0023712737127371273 (21 / 8856)
Lower Threshold: 0.0053,     	Prevalence: 0.003071253071253071 (20 / 6512)
Lower Threshold: 0.0054,     	Prevalence: 0.0031808172253486667 (13 / 4087)
Lower Threshold: 0.0055,     	Prevalence: 0.0038314176245210726 (8 / 2088)
Lower Threshold: 0.0056,     	Prevalence: 0.0034883720930232558 (3 / 860)
Lower Threshold: 0.0057,     	Prevalence: 0.006779661016949152 (2 / 295)
Lower Threshold: 0.0058,     	Prevalence: 0.0 (0 / 78)
Lower Threshold: 0.0059,     	Prevalence: 0.0 (0 / 19)

Cassia fistula
Lower Threshold: 0.005,     	Prevalence: 0.0011687119125135654 (14 / 11979)
Lower Threshold: 0.0051,     	Prevalence: 0.0012929442186922792 (14 / 10828)
Lower Threshold: 0.0052,     	Prevalence: 0.0016975870013338184 (14 / 8247)
Lower Threshold: 0.0053,     	Prevalence: 0.0023139220979560356 (12 / 5186)
Lower Threshold: 0.0054,     	Prevalence: 0.003468208092485549 (9 / 2595)
Lower Threshold: 0.0055,     	Prevalence: 0.005719733079122974 (6 / 1049)
Lower Threshold: 0.0056,     	Prevalence: 0.006644518272425249 (2 / 301)
Lower Threshold: 0.0057,     	Prevalence: 0.029411764705882353 (2 / 68)
Lower Threshold: 0.0058,     	Prevalence: 0.2 (2 / 10)
Lower Threshold: 0.0059,     	Prevalence: 0.3333333333333333 (1 / 3)
Lower Threshold: 0.006,     	Prevalence: 0.0 (0 / 1)

Prosopis farcta
Lower Threshold: 0.005,     	Prevalence: 0.0007117437722419929 (5 / 7025)
Lower Threshold: 0.0051,     	Prevalence: 0.0008130081300813008 (4 / 4920)
Lower Threshold: 0.0052,     	Prevalence: 0.00064 (2 / 3125)
Lower Threshold: 0.0053,     	Prevalence: 0.0005461496450027307 (1 / 1831)
Lower Threshold: 0.0054,     	Prevalence: 0.0010626992561105207 (1 / 941)
Lower Threshold: 0.0055,     	Prevalence: 0.002242152466367713 (1 / 446)
Lower Threshold: 0.0056,     	Prevalence: 0.005681818181818182 (1 / 176)
Lower Threshold: 0.0057,     	Prevalence: 0.017543859649122806 (1 / 57)
Lower Threshold: 0.0058,     	Prevalence: 0.05263157894736842 (1 / 19)
Lower Threshold: 0.0059,     	Prevalence: 0.0 (0 / 4)
Lower Threshold: 0.006,     	Prevalence: 0.0 (0 / 3)

Alstonia scholaris
Lower Threshold: 0.005,     	Prevalence: 0.0006956867421983701 (7 / 10062)
Lower Threshold: 0.0051,     	Prevalence: 0.0009399758291929637 (7 / 7447)
Lower Threshold: 0.0052,     	Prevalence: 0.0009107468123861566 (4 / 4392)
Lower Threshold: 0.0053,     	Prevalence: 0.0019093078758949881 (4 / 2095)
Lower Threshold: 0.0054,     	Prevalence: 0.0012953367875647669 (1 / 772)
Lower Threshold: 0.0055,     	Prevalence: 0.004484304932735426 (1 / 223)
Lower Threshold: 0.0056,     	Prevalence: 0.0196078431372549 (1 / 51)
Lower Threshold: 0.0057,     	Prevalence: 0.0 (0 / 8)
Lower Threshold: 0.0058,     	Prevalence: 0.0 (0 / 3)
